"Timestamp","Please provide your Worker's ID.","All the agents know which goal they are trying to reach.","Multiple agents may all be trying to reach the same goal.","The goals have different colors in the grid-world environment.","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Green Agent's goal?","Which one is the Red Agent's goal?","","","","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","Which one is the Blue Agent's goal?","Which one is the Magenta Agent's goal?","Which one is the Yellow Agent's goal?","","","","Confirm your Worker's ID."
"2021/08/23 2:09:58 PM AST","A1ONI6VBXMSSW1","True","True","True","Circle goal","Circle goal","Triangle goal","Circle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Triangle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Triangle goal","Circle goal","Triangle goal","Triangle goal","Circle goal","Triangle goal","Triangle goal","Circle goal","Triangle goal","Circle goal","Triangle goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Circle goal","Square goal","Square goal","Triangle goal","Circle goal","Square goal","B","A","A","Tomato","Lettuce","Tomato","Lettuce","None","Tomato","Plate","Lettuce","Plate","Lettuce","Tomato","None","Plate","Tomato","None","Plate","Tomato","Lettuce","Lettuce","Lettuce","Plate","Tomato","Lettuce","None","Tomato","Lettuce","Plate","Lettuce","Plate","Lettuce","Tomato","Lettuce","Plate","Lettuce","Plate","None","A","B","B","A1ONI6VBXMSSW1"
"2021/08/23 2:11:21 PM AST","A2VY8SX3OSP6HX","True","True","False","Circle goal","Circle goal","Circle goal","Circle goal","Triangle goal","Triangle goal","Circle goal","Triangle goal","Triangle goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Triangle goal","Triangle goal","Circle goal","A","B","A","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","None","None","None","Tomato","Lettuce","Lettuce","Plate","Lettuce","Plate","Plate","Tomato","None","Tomato","Lettuce","None","Plate","Lettuce","None","None","None","None","Tomato","Lettuce","Lettuce","Tomato","Lettuce","Tomato","B","B","B","A2VY8SX3OSP6HX"
"2021/08/23 2:12:19 PM AST","A7DS3ORGPFFMD ","False","True","True","Circle goal","Triangle goal","Square goal","Circle goal","Square goal","Triangle goal","Circle goal","Triangle goal","Square goal","Triangle goal","Circle goal","Square goal","Triangle goal","Circle goal","Square goal","Triangle goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Triangle goal","Circle goal","Square goal","Square goal","Triangle goal","Circle goal","A","B","B","Plate","Lettuce","None","Tomato","Plate","Lettuce","Plate","Tomato","Lettuce","Lettuce","Lettuce","Lettuce","Plate","Lettuce","Lettuce","Plate","Tomato","Lettuce","None","Lettuce","None","Plate","Lettuce","None","Plate","Lettuce","None","None","Lettuce","Lettuce","None","Lettuce","Lettuce","Tomato","Lettuce","Tomato","B","A","B","A7DS3ORGPFFMD "
"2021/08/23 2:12:25 PM AST","A1QGEOGGB7FYTJ","True","True","True","Circle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Square goal","Square goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","Square goal","Circle goal","Square goal","Circle goal","Circle goal","Triangle goal","Circle goal","Square goal","Triangle goal","Circle goal","Triangle goal","Square goal","Triangle goal","Circle goal","Square goal","Circle goal","Circle goal","Circle goal","Circle goal","Triangle goal","Circle goal","A","B","A","Tomato","Tomato","Lettuce","Tomato","None","Lettuce","Tomato","Lettuce","Lettuce","Tomato","Lettuce","Tomato","Lettuce","Tomato","Plate","Tomato","Lettuce","None","Tomato","Plate","Lettuce","Tomato","Plate","Lettuce","Lettuce","Plate","Tomato","Tomato","Plate","Lettuce","Tomato","Plate","Lettuce","Tomato","Lettuce","Plate","A","B","B","A1QGEOGGB7FYTJ"
"2021/08/23 2:14:28 PM AST","A1T5NPDKFGKD9V","True","True","False","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Circle goal","Triangle goal","Triangle goal","Circle goal","Triangle goal","Square goal","Circle goal","Circle goal","Circle goal","A","A","B","None","Tomato","Lettuce","Lettuce","Tomato","Lettuce","Tomato","Tomato","Lettuce","Plate","Tomato","Tomato","Plate","Tomato","Plate","Lettuce","None","Tomato","Plate","Tomato","Tomato","Lettuce","Lettuce","Tomato","Lettuce","Plate","Tomato","Tomato","Plate","Lettuce","Plate","None","Lettuce","Plate","Plate","Lettuce","B","A","B","A1T5NPDKFGKD9V"
"2021/08/23 2:14:34 PM AST","A2HJZ7G4Z9BXVS","True","True","True","Circle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Triangle goal","Circle goal","Triangle goal","Triangle goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Triangle goal","Circle goal","A","B","A","None","Tomato","Lettuce","Tomato","Lettuce","None","Plate","Tomato","Lettuce","None","None","None","Tomato","None","None","Plate","Lettuce","Tomato","Plate","Tomato","None","Plate","Lettuce","None","Plate","Lettuce","None","Tomato","Tomato","None","Tomato","None","None","Tomato","Lettuce","Plate","B","B","A","A2HJZ7G4Z9BXVS"
"2021/08/23 2:15:10 PM AST","ASNYEQS7AY3X1","True","True","True","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","A","A","A","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Tomato","Lettuce","None","Plate","Lettuce","None","Tomato","Tomato","None","Tomato","Tomato","Tomato","Plate","Lettuce","Tomato","B","A","B","ASNYEQS7AY3X1"
"2021/08/23 2:15:17 PM AST","A3EAIWOOW8CURE","False","True","False","Circle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Triangle goal","Circle goal","Triangle goal","Triangle goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Triangle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Circle goal","Circle goal","Triangle goal","Triangle goal","A","B","A","Tomato","Lettuce","Lettuce","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Tomato","Tomato","Tomato","Plate","Lettuce","Plate","Plate","Tomato","None","Tomato","Lettuce","None","Plate","Lettuce","None","Tomato","Tomato","Plate","Tomato","Tomato","Tomato","Tomato","Lettuce","Tomato","B","A","A","A3EAIWOOW8CURE"
"2021/08/23 2:16:25 PM AST","A2TLPCLYDXKJ6Y","True","True","True","Circle goal","Circle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Triangle goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Circle goal","Circle goal","Triangle goal","Triangle goal","A","B","A","None","None","None","Plate","None","Lettuce","Tomato","Tomato","Lettuce","None","None","None","Tomato","None","None","Plate","None","Plate","Plate","None","None","Tomato","Lettuce","None","Plate","Lettuce","None","None","None","None","None","None","None","Tomato","Lettuce","Tomato","B","A","A","A2TLPCLYDXKJ6Y"
"2021/08/23 2:16:29 PM AST","ACQXIW21XXCB6","True","True","True","Circle goal","Circle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Triangle goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Circle goal","B","A","B","Tomato","Tomato","Lettuce","Tomato","Tomato","Lettuce","Tomato","None","Lettuce","Tomato","None","Lettuce","Tomato","None","Lettuce","Tomato","None","Tomato","Tomato","Tomato","None","Plate","Lettuce","None","Tomato","Lettuce","None","Tomato","Tomato","None","Tomato","Tomato","Tomato","Tomato","Lettuce","Tomato","B","A","A","ACQXIW21XXCB6"
"2021/08/23 2:17:06 PM AST","A2C464DXPVCXUU","True","True","True","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Square goal","Triangle goal","Triangle goal","Circle goal","Square goal","Triangle goal","Circle goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Triangle goal","Triangle goal","Triangle goal","Circle goal","A","B","A","Tomato","Tomato","Plate","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Tomato","Tomato","Lettuce","Plate","Lettuce","Lettuce","Plate","Lettuce","Plate","Plate","Plate","None","Plate","Tomato","None","Plate","Lettuce","None","Plate","Plate","Plate","Plate","Plate","Tomato","Tomato","Lettuce","Plate","B","A","B","A2C464DXPVCXUU"
"2021/08/23 2:18:28 PM AST","A3IMUT1XYQ1X16","True","True","True","Circle goal","Circle goal","Circle goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Circle goal","A","A","A","Tomato","Tomato","Lettuce","Plate","Tomato","Lettuce","Tomato","Tomato","Lettuce","Lettuce","Lettuce","Lettuce","Lettuce","Lettuce","Lettuce","Tomato","Lettuce","Plate","Plate","Lettuce","None","Tomato","Tomato","None","Tomato","Lettuce","Plate","Tomato","Lettuce","Lettuce","Tomato","Lettuce","Lettuce","Tomato","Lettuce","Tomato","A","B","A","A3IMUT1XYQ1X16"
"2021/08/23 2:21:27 PM AST","A3LOTWT2Z6V1ZC","True","True","True","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Triangle goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Square goal","Square goal","Triangle goal","Square goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Triangle goal","Square goal","Triangle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Circle goal","Square goal","A","B","B","Tomato","Plate","Lettuce","Tomato","Plate","Lettuce","Plate","Lettuce","Tomato","Lettuce","Plate","Tomato","Plate","Lettuce","Tomato","Tomato","Lettuce","Plate","Lettuce","Plate","Tomato","Tomato","Lettuce","Plate","Lettuce","Plate","Lettuce","Plate","Lettuce","Tomato","Tomato","Plate","Lettuce","Tomato","Plate","Lettuce","A","B","B","A3LOTWT2Z6V1ZC"
"2021/08/23 2:22:30 PM AST","A2A1FWIO7JUL7Z","True","True","False","Circle goal","Circle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Triangle goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","B","A","B","Tomato","Plate","Lettuce","Plate","Tomato","Lettuce","Plate","Tomato","Lettuce","Tomato","Tomato","Lettuce","Tomato","Tomato","Tomato","Plate","Tomato","Plate","Plate","Tomato","Tomato","Tomato","Tomato","None","Plate","Lettuce","None","Tomato","Tomato","None","Tomato","Tomato","Tomato","Tomato","Lettuce","Tomato","B","B","A","A2A1FWIO7JUL7Z"
"2021/08/23 2:23:17 PM AST","A14YXZ401ZEZ4R","True","True","False","Circle goal","Circle goal","Circle goal","Circle goal","Triangle goal","Circle goal","Circle goal","Triangle goal","Triangle goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Square goal","Circle goal","Square goal","Circle goal","Triangle goal","Triangle goal","Circle goal","Triangle goal","Square goal","Circle goal","Triangle goal","Square goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Circle goal","Triangle goal","Triangle goal","Triangle goal","B","A","A","None","Plate","Lettuce","Tomato","Plate","Lettuce","Tomato","Lettuce","Lettuce","Plate","Plate","Plate","Plate","Plate","Plate","Plate","Lettuce","Plate","None","None","None","Tomato","Lettuce","None","Plate","Lettuce","None","Tomato","Tomato","Tomato","None","None","None","Tomato","None","Tomato","A","A","B","A14YXZ401ZEZ4R"
